Constituency,Electorate,Total Poll,% Turnout,Invalid Ballot Papers,Valid Poll,Votes in Favour,Votes Against,% in Favour,% Against
Carlow-Kilkenny,104735,68538,65.44,293,68245,17507,50738,25.65,74.35
Cavan-Monaghan,99265,56766,57.19,602,56164,14167,41997,25.22,74.78
Clare,81809,48615,59.43,406,48209,11576,36633,24.01,75.99
Cork East,81271,49517,60.93,419,49098,12290,36808,25.03,74.97
Cork North-Central,75263,45063,59.87,458,44605,11980,32625,26.86,73.14
Cork North-West,62143,39003,62.76,321,38682,8860,29822,22.9,77.1
Cork South-Central,92422,59008,63.85,420,58588,15789,42799,26.95,73.05
Cork South-West,60141,37104,61.7,280,36824,8733,28091,23.72,76.28
Donegal North-East,59721,30728,51.45,253,30475,8678,21797,28.48,71.52
Donegal South-West,62171,32051,51.55,299,31752,8895,22857,28.01,71.99
Dublin Central,57193,33142,57.95,334,32808,12012,20796,36.61,63.39
Dublin Mid-West,67091,42529,63.39,344,42185,12096,30089,28.67,71.33
Dublin North,72523,47728,65.81,301,47427,14069,33358,29.66,70.34
Dublin North-Central,53785,37022,68.83,229,36793,10878,25915,29.57,70.43
Dublin North-East,59549,39523,66.37,276,39247,11583,27664,29.51,70.49
Dublin North-West,51207,30523,59.61,303,30220,9363,20857,30.98,69.02
Dublin South,103969,70523,67.83,386,70137,22788,47349,32.49,67.51
Dublin South-Central,80406,48692,60.56,379,48313,16560,31753,34.28,65.72
Dublin South-East,59376,34427,57.98,272,34155,12848,21307,37.62,62.38
Dublin South-West,71232,45168,63.41,344,44824,13437,31387,29.98,70.02
Dublin West,65643,42255,64.37,234,42021,12279,29742,29.22,70.78
Dun Laoghaire,80176,53742,67.03,419,53323,16690,36633,31.3,68.7
Galway East,85900,48102,56,528,47574,10673,36901,22.43,77.57
Galway West,95180,52502,55.16,474,52028,13948,38080,26.81,73.19
Kerry North - West Limerick,62523,35762,57.2,340,35422,8244,27178,23.27,76.73
Kerry South,57524,33463,58.17,320,33143,7280,25863,21.97,78.03
Kildare North,79014,49032,62.05,314,48718,13259,35459,27.22,72.78
Kildare South,60384,35266,58.4,235,35031,9151,25880,26.12,73.88
Laois-Offaly,108436,63290,58.37,546,62744,14951,47793,23.83,76.17
Limerick,64100,37498,58.5,382,37116,8495,28621,22.89,77.11
Limerick City,61421,38877,63.3,293,38584,10719,27865,27.78,72.22
Longford-Westmeath,87425,47863,54.75,457,47406,11508,35898,24.28,75.72
Louth,102561,61441,59.91,468,60973,16219,44754,26.6,73.4
Mayo,97296,55932,57.49,534,55398,13167,42231,23.77,76.23
Meath East,64956,38768,59.68,222,38546,9790,28756,25.4,74.6
Meath West,63649,35814,56.27,314,35500,8794,26706,24.77,75.23
Roscommon-South Leitrim,59392,36518,61.49,320,36198,8143,28055,22.5,77.5
Sligo-North Leitrim,62031,35844,57.78,352,35492,8859,26633,24.96,75.04
Tipperary North,65118,40720,62.53,374,40346,9306,31040,23.07,76.93
Tipperary South,58262,34532,59.27,338,34194,7815,26379,22.85,77.15
Waterford,79669,47284,59.35,499,46785,12251,34534,26.19,73.81
Wexford,111474,64435,57.8,581,63854,16430,47424,25.73,74.27
Wicklow,94275,64828,68.76,475,64353,18818,45535,29.24,70.76
Total,3221681,1949438,60.51,15938,1933500,520898,1412602,26.94,73.06
